dimension,category,study_count,percent_of_retained_corpus
review_role,[D],72,74.2
review_role,[M],15,15.5
review_role,[C],10,10.3
evidence_setting,Analytical/theoretical,60,61.9
evidence_setting,Simulation,71,73.2
evidence_setting,Test-track experiment,2,2.1
evidence_setting,Field experiment,3,3.1
evidence_setting,Observational/open-road data,1,1.0
evidence_setting,Network/demand model,8,8.2
operational_application,Traffic smoothing / mobile-actuator control,21,21.6
operational_application,Speed harmonization / dynamic headway / bottleneck-inflow regulation,37,38.1
operational_application,Lane assignment / lane-use control,4,4.1
operational_application,Cooperative merging / coordinated gap creation / ramp coordination,18,18.6
operational_application,Integrated longitudinal–lateral bottleneck control,18,18.6
operational_application,Platooning,4,4.1
operational_application,Routing / dynamic traffic assignment / managed-lane operation,14,14.4
operational_application,Perimeter/corridor control / fleet rebalancing,2,2.1
coverage,At least one operational-application family,81,
coverage,No controlled evidence-setting label,5,
