dimension,category,study_count,percent_of_96
review_role,[D],72,75.0
review_role,[M],15,15.6
review_role,[C],9,9.4
evidence_setting,Analytical/theoretical,59,61.5
evidence_setting,Simulation,70,72.9
evidence_setting,Test-track experiment,2,2.1
evidence_setting,Field experiment,3,3.1
evidence_setting,Observational/open-road data,1,1.0
evidence_setting,Network/demand model,8,8.3
operational_application,Traffic smoothing / mobile-actuator control,21,
operational_application,Speed harmonization / dynamic headway / bottleneck-inflow regulation,37,
operational_application,Lane assignment / lane-use control,4,
operational_application,Cooperative merging / coordinated gap creation / ramp coordination,18,
operational_application,Integrated longitudinal–lateral bottleneck control,18,
operational_application,Platooning,4,
operational_application,Routing / dynamic traffic assignment / managed-lane operation,13,
operational_application,Perimeter/corridor control / fleet rebalancing,2,
coverage,At least one operational-application family,80,
coverage,No controlled evidence-setting label,5,
